subject	condition	target	block	time
shu122	four	./icons/system-users.png.gif	0	6.15
shu123	four	./icons/system-users.png.gif	0	6.15
shu124	four	./icons/system-users.png.gif	0	6.15
shu125	four	./icons/system-users.png.gif	0	6.15
shu126	four	./icons/system-users.png.gif	0	6.15
shu127	four	./icons/system-users.png.gif	0	6.15
shu128	four	./icons/system-users.png.gif	0	6.15
shu129	four	./icons/system-users.png.gif	0	6.15
shu130	four	./icons/system-users.png.gif	0	6.15
shu131	four	./icons/system-users.png.gif	0	6.15
shu132	four	./icons/system-users.png.gif	0	6.15
shu133	four	./icons/system-users.png.gif	0	6.15
shu134	four	./icons/system-users.png.gif	0	6.15
shu135	four	./icons/system-users.png.gif	0	6.15
shu136	four	./icons/system-users.png.gif	0	6.15
shu137	four	./icons/system-users.png.gif	0	6.15
shu138	four	./icons/system-users.png.gif	0	6.15
shu139	four	./icons/system-users.png.gif	0	6.15
shu140	four	./icons/system-users.png.gif	0	6.15
shu141	four	./icons/system-users.png.gif	0	6.15
shu142	four	./icons/system-users.png.gif	0	6.15
shu143	four	./icons/system-users.png.gif	0	6.15
shu144	four	./icons/system-users.png.gif	0	6.15
shu145	four	./icons/system-users.png.gif	0	6.15
shu146	four	./icons/system-users.png.gif	0	6.15
shu147	four	./icons/system-users.png.gif	0	6.15
shu148	four	./icons/system-users.png.gif	0	6.15
shu149	four	./icons/system-users.png.gif	0	6.15
shu150	four	./icons/system-users.png.gif	0	6.15
shu151	four	./icons/system-users.png.gif	0	6.15
shu152	four	./icons/system-users.png.gif	0	6.15
shu153	four	./icons/system-users.png.gif	0	6.15
shu154	four	./icons/system-users.png.gif	0	6.15
shu155	four	./icons/system-users.png.gif	0	6.15
shu156	four	./icons/system-users.png.gif	0	6.15
shu157	four	./icons/system-users.png.gif	0	6.15
shu158	four	./icons/system-users.png.gif	0	6.15
shu159	four	./icons/system-users.png.gif	0	6.15
shu160	four	./icons/system-users.png.gif	0	6.15
shu161	four	./icons/system-users.png.gif	0	6.15
shu162	four	./icons/system-users.png.gif	0	6.15
shu163	four	./icons/system-users.png.gif	0	6.15
shu164	four	./icons/system-users.png.gif	0	6.15
shu165	four	./icons/system-users.png.gif	0	6.15
shu166	four	./icons/system-users.png.gif	0	6.15
shu167	four	./icons/system-users.png.gif	0	6.15
shu168	four	./icons/system-users.png.gif	0	6.15
shu169	four	./icons/system-users.png.gif	0	6.15
shu170	four	./icons/system-users.png.gif	0	6.15
shu171	four	./icons/system-users.png.gif	0	6.15
shu172	four	./icons/system-users.png.gif	0	6.15
shu173	four	./icons/system-users.png.gif	0	6.15
shu174	four	./icons/system-users.png.gif	0	6.15
shu175	four	./icons/system-users.png.gif	0	6.15
shu176	four	./icons/system-users.png.gif	0	6.15
shu177	four	./icons/system-users.png.gif	0	6.15
shu178	four	./icons/system-users.png.gif	0	6.15
shu179	four	./icons/system-users.png.gif	0	6.15
shu180	four	./icons/system-users.png.gif	0	6.15
shu181	four	./icons/system-users.png.gif	0	6.15
shu182	four	./icons/system-users.png.gif	0	6.15
shu183	four	./icons/system-users.png.gif	0	6.15
shu184	four	./icons/system-users.png.gif	0	6.15
shu185	four	./icons/system-users.png.gif	0	6.15
shu186	four	./icons/system-users.png.gif	0	6.15
shu187	four	./icons/system-users.png.gif	0	6.15
shu188	four	./icons/system-users.png.gif	0	6.15
shu189	four	./icons/system-users.png.gif	0	6.15
shu190	four	./icons/system-users.png.gif	0	6.15
shu191	four	./icons/system-users.png.gif	0	6.15
shu192	four	./icons/system-users.png.gif	0	6.15
shu193	four	./icons/system-users.png.gif	0	6.15
shu194	four	./icons/system-users.png.gif	0	6.15
shu195	four	./icons/system-users.png.gif	0	6.15
shu196	four	./icons/system-users.png.gif	0	6.15
shu197	four	./icons/system-users.png.gif	0	6.15
shu198	four	./icons/system-users.png.gif	0	6.15
shu199	four	./icons/system-users.png.gif	0	6.15
shu200	four	./icons/system-users.png.gif	0	6.15
shu201	four	./icons/system-users.png.gif	0	6.15
shu202	four	./icons/system-users.png.gif	0	6.15
shu203	four	./icons/system-users.png.gif	0	6.15
shu204	four	./icons/system-users.png.gif	0	6.15
shu205	four	./icons/system-users.png.gif	0	6.15
shu206	four	./icons/system-users.png.gif	0	6.15
shu207	four	./icons/system-users.png.gif	0	6.15
shu208	four	./icons/system-users.png.gif	0	6.15
shu209	four	./icons/system-users.png.gif	0	6.15
shu210	four	./icons/system-users.png.gif	0	6.15
shu211	four	./icons/system-users.png.gif	0	6.15
shu212	four	./icons/system-users.png.gif	0	6.15
shu122	nine	./icons/applications-graphics.png.gif	8	1.78
shu122	nine	./icons/user-home.png.gif	8	1.83
shu122	nine	./icons/applications-system.png.gif	8	1.58
shu122	nine	./icons/applications-accessories.png.gif	8	2.14
shu122	nine	./icons/applications-system.png.gif	9	2.04
shu122	nine	./icons/applications-graphics.png.gif	9	2.04
shu122	nine	./icons/user-trash.png.gif	9	0.94
shu122	nine	./icons/applications-accessories.png.gif	9	2.12
shu122	nine	./icons/user-home.png.gif	9	1.25
shu122	thirtysix	./icons/office-calendar.png.gif	0	1.27
shu122	thirtysix	./icons/dialog-information.png.gif	0	1.08
shu122	thirtysix	./icons/user-home.png.gif	0	1.19
shu122	thirtysix	./icons/battery.png.gif	0	1.38
shu122	thirtysix	./icons/applications-accessories.png.gif	0	1.59
shu122	thirtysix	./icons/battery.png.gif	1	1.51
shu122	thirtysix	./icons/office-calendar.png.gif	1	1.63
shu122	thirtysix	./icons/dialog-information.png.gif	1	1.31
shu122	thirtysix	./icons/applications-accessories.png.gif	1	1.18
shu122	thirtysix	./icons/user-home.png.gif	1	1.68
shu122	thirtysix	./icons/battery.png.gif	2	1.19
shu122	thirtysix	./icons/user-home.png.gif	2	0.91
shu122	thirtysix	./icons/applications-accessories.png.gif	2	1.21
shu122	thirtysix	./icons/office-calendar.png.gif	2	1.11
shu122	thirtysix	./icons/dialog-information.png.gif	2	1.44
shu122	thirtysix	./icons/office-calendar.png.gif	3	0.87
shu122	thirtysix	./icons/battery.png.gif	3	1.24
shu122	thirtysix	./icons/applications-accessories.png.gif	3	0.88
shu122	thirtysix	./icons/user-home.png.gif	3	0.99
shu122	thirtysix	./icons/dialog-information.png.gif	3	0.82
shu122	thirtysix	./icons/applications-accessories.png.gif	4	0.99
shu122	thirtysix	./icons/office-calendar.png.gif	4	1.63
shu122	thirtysix	./icons/dialog-information.png.gif	4	1.3
shu122	thirtysix	./icons/user-home.png.gif	4	0.66
shu122	thirtysix	./icons/battery.png.gif	4	0.96
shu122	thirtysix	./icons/dialog-information.png.gif	5	1.23
shu122	thirtysix	./icons/office-calendar.png.gif	5	1.3
shu122	thirtysix	./icons/applications-accessories.png.gif	5	0.92
shu122	thirtysix	./icons/user-home.png.gif	5	0.89
shu122	thirtysix	./icons/battery.png.gif	5	1.03
shu122	thirtysix	./icons/dialog-information.png.gif	6	1.19
shu122	thirtysix	./icons/office-calendar.png.gif	6	0.81
shu122	thirtysix	./icons/battery.png.gif	6	0.92
shu122	thirtysix	./icons/user-home.png.gif	6	0.67
shu122	thirtysix	./icons/applications-accessories.png.gif	6	1.31
shu122	thirtysix	./icons/dialog-information.png.gif	7	0.89
shu122	thirtysix	./icons/office-calendar.png.gif	7	1.04
shu122	thirtysix	./icons/user-home.png.gif	7	0.7
shu122	thirtysix	./icons/battery.png.gif	7	1.1
shu122	thirtysix	./icons/applications-accessories.png.gif	7	0.91
shu122	thirtysix	./icons/applications-accessories.png.gif	8	0.51
shu122	thirtysix	./icons/battery.png.gif	8	1.01
shu122	thirtysix	./icons/office-calendar.png.gif	8	0.92
shu122	thirtysix	./icons/user-home.png.gif	8	0.72
shu122	thirtysix	./icons/dialog-information.png.gif	8	1.03
shu122	thirtysix	./icons/applications-accessories.png.gif	9	0.91
shu122	thirtysix	./icons/user-home.png.gif	9	0.98
shu122	thirtysix	./icons/office-calendar.png.gif	9	0.88
